Title, Image, Link, Price, Reviews, Stars
"Anker Soundcore Life P2 True Wireless Earbuds with 4 Microphones, CVC 8.0 Noise Reduction, Graphene Drivers for Clear Sound, USB C, 40H Playtime, IPX7 Waterproof, Not for iPhone 11 Series  ","https://m.media-amazon.com/images/I/61ulUeZ+FYL._AC_UL320_.jpg","https://amazon.com.au/Soundcore-Wireless-Microphones-Reduction-Waterproof/dp/B07SJR6HL3/ref=sr_1_14?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-14","$59.99$109.99","175","3.7 out of 5 stars"
"SOUNDPEATS TrueAir2 Wireless Earbuds Bluetooth V5.2 Headphones Wireless Earphones with Qualcomm QCC3040, TrueWireless Mirroring, 4 Mic for Clear Calls and cVc 8.0 Noise Cancellation, aptX Codec, Total 25 Hours  ","https://m.media-amazon.com/images/I/613rl4IgthL._AC_UL320_.jpg","https://amazon.com.au/SOUNDPEATS-Bluetooth-Headphones-TrueWireless-Cancellation/dp/B08JGZQCM1/ref=sr_1_15?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-15","$47.99$51.99","2,997","4.1 out of 5 stars"
"cellularline BTMOSQUITOB Motion in-Ear Bluetooth Stereo Earphone with Microphone - Blue  ","https://m.media-amazon.com/images/I/21tdN1ZZkgL._AC_UL320_.jpg","https://amazon.com.au/cellularline-BTMOSQUITOB-Bluetooth-Earphone-Microphone/dp/B073VN3493/ref=sr_1_16?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-16","$50.41","5","5.0 out of 5 stars"
"Xiaomi Buds 3 Redmi Dual-Microphone Bluetooth Earphones MIUI Pop-up Noise Cancellation Lightweight Wireless Earbuds with Compact Charging case Extra Long Battery Life  ","https://m.media-amazon.com/images/I/510T147bmzL._AC_UL320_.jpg","https://amazon.com.au/Xiaomi-Dual-Microphone-Bluetooth-Cancellation-Lightweight/dp/B09MG42771/ref=sr_1_17?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-17","$45.95"
"Fasgear Wired Earbuds, in Ear Earphones with Mic & Volume Remote Control Noise Isolating Deep Bass Sport Headphones HiFi Stereo Sound Compatible with iPhone 6S Plus 5S SE,iPad Pro,iPod,Smartphones, Tablets, Laptops and All 3.5mm Audio Jack (Black)  ","https://m.media-amazon.com/images/I/71e79sArQrL._AC_UL320_.jpg","https://amazon.com.au/Fasgear-Earphones-Headphones-Definition-Smartphones/dp/B085MBZ8P8/ref=sr_1_18?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-18","$13.99","51","3.9 out of 5 stars"
"Shokz OpenRun Bone Conduction Sports Headphones, Bluetooth Wireless Earphones with Mic, 8H Playtime, Open-Ear Waterproof Headset for Running, Workout, Driving (Solar Red)  ","https://m.media-amazon.com/images/I/41f9BvfB-wL._AC_UL320_.jpg","https://amazon.com.au/Conduction-Headphones-Bluetooth-Earphones-Waterproof/dp/B09BVYKTZM/ref=sr_1_19?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-19","$219.00","4","4.5 out of 5 stars"
"SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ","https://m.media-amazon.com/images/I/61p6od98YQL._AC_UL320_.jpg","https://amazon.com.au/SoundPEATS-Air3-aptX-Adaptive-Cancellation-TrueWireless/dp/B09BZKNBY7/ref=sr_1_20?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-20","$58.99","671","4.4 out of 5 stars"
"TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport Black  ","https://m.media-amazon.com/images/I/71gtHnQGfQL._AC_UL320_.jpg","https://amazon.com.au/TOZO-True-Wireless-Headphones-Stereo/dp/B07RGZ5NKS/ref=sr_1_21?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-21","$49.99$59.98","103,625","4.4 out of 5 stars"
"Laser Earbud Headphone in White  ","https://m.media-amazon.com/images/I/319PGecpdnL._AC_UL320_.jpg","https://amazon.com.au/Laser-AO-EB30-WHT-Earbud-Headphone-White/dp/B07SBX9PYJ/ref=sr_1_22?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-22","$3.00","3","4.1 out of 5 stars"
"SOUNDPEATS Dual Dynamic Drivers Bluetooth Headphones, Neckband Wireless Earbuds with Crossover, APTX HD Audio Built in Mic 22 Hours Playtime, Bluetooth 5.0 Headset Sports Earphones  ","https://m.media-amazon.com/images/I/61gJO1-D84L._AC_UL320_.jpg","https://amazon.com.au/SOUNDPEATS-Bluetooth-Headphones-Crossover-Earphones/dp/B086D6WXF5/ref=sr_1_23?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-23","$54.99$58.99","305","4.3 out of 5 stars"
"Edifier NB2 Pro True Wireless Earbuds - 6 Mics - Hybrid Active Noise Cancelling - Bluetooth 5.0 Wireless Earphone - 32H Play Time - USB-C - App Control- Ivory  ","https://m.media-amazon.com/images/I/5115eM1AO9S._AC_UL320_.jpg","https://amazon.com.au/Edifier-NB2-True-Wireless-Earbuds/dp/B09JBWRHQV/ref=sr_1_24?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-24","$109.99"
"Samsung EO-EG920BB Earphones Black  ","https://m.media-amazon.com/images/I/51pmgyRXvQL._AC_UL320_.jpg","https://amazon.com.au/Samsung-EO-EG920BB-Earphones-Black/dp/B06XK8GNR3/ref=sr_1_25?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-25","$10.99","841","3.8 out of 5 stars"
"HiFiHear BLON 03 in Ear Earphone,10mm Carbon Diaphragm Dynamic Drive Bass HiFi DJ in Ear Monitor, Diamond Mirror Process in Ear Headphone with 2pins Detachable Cable Wired Earphone (Gun No Mic)  ","https://m.media-amazon.com/images/I/515NOVtyIZL._AC_UL320_.jpg","https://amazon.com.au/HiFiHear-Earphone-Diaphragm-Headphone-Detachable/dp/B07TVQXWDZ/ref=sr_1_26?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-26","$68.04"
"SOUNDPEATS TrueAir2 Wireless Earbuds Bluetooth V5.2 Headphones Wireless Earphones with Qualcomm QCC3040, TrueWireless Mirroring, 4 Mic for Clear Calls and cVc 8.0 Noise Cancellation, aptX Codec, Total 25 Hours  ","https://m.media-amazon.com/images/I/51Bd-nJxFFL._AC_UL320_.jpg","https://amazon.com.au/SOUNDPEATS-Bluetooth-Headphones-TrueWireless-Cancellation/dp/B08MQP7GYY/ref=sr_1_27?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-27","$49.99$56.99","2,997","4.1 out of 5 stars"
"Panasonic Water Resistant Sweat-Proof Wings Ultra-Light Wireless Bluetooth Sport Earphones, Blue (RPBTS35EA)  ","https://m.media-amazon.com/images/I/71VpeyzrhPL._AC_UL320_.jpg","https://amazon.com.au/Panasonic-Ultra-Light-Bluetooth-Earphones-RPBTS35EA/dp/B07FCX7WYF/ref=sr_1_28?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-28","$129.95","60","3.3 out of 5 stars"
"SoundPEATS True Wireless Earbuds, Bluetooh V5.0 Headphones in-Ear True Wireless Bluetooth Earphones Auto-Pair Wireless Headphones with High Definition Mic (Stereo Sound, Smart Touch,IPX5, 24 Hours Playtime)  ","https://m.media-amazon.com/images/I/616XWQRmJ3L._AC_UL320_.jpg","https://amazon.com.au/SoundPEATS-Headphones-Bluetooth-Earphones-Definition/dp/B07S9XVTBH/ref=sr_1_29?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-29","$37.99$43.99","1,841","4.3 out of 5 stars"
